,speed,number_of_fish,metabolic_rate_segmented_error,metabolic_rate_segmented
69,4,5,0.23657450824975967,3.788318395614624
70,4,5,0.23762909322977066,5.2311928272247314
71,4,5,0.24635854363441467,4.648165464401245
72,4,7,0.2563772350549698,6.484861135482788
73,4,7,0.22286570072174072,7.21050238609314
74,4,7,0.26181386411190033,5.218584775924683
75,4,9,0.2358415350317955,7.688082456588745
76,4,9,0.26986247301101685,8.835650205612183
77,4,9,0.2307303100824356,8.989834547042847
78,4,11,0.2647992819547653,10.927497625350952
79,4,11,0.4044796824455261,10.725319623947144
80,5,1,0.2642042562365532,3.366919994354248
81,5,1,0.2560414746403694,1.5090339183807373
82,5,1,0.25479040294885635,3.814575672149658
83,5,2,0.2614425793290138,2.220977306365967
84,5,2,0.23800970613956451,2.4608678817749023
85,5,3,0.21946129947900772,3.2718958854675293
86,5,3,0.21507789194583893,3.052600383758545
87,5,4,0.2709246799349785,4.1690168380737305
88,5,4,0.25665492564439774,3.5181636810302734
89,5,5,0.21557457000017166,5.954411029815674
90,5,5,0.21353983134031296,7.161696910858154
91,5,5,0.2585434541106224,5.3233184814453125
92,5,7,0.24500640481710434,7.732621669769287
93,5,7,0.2097356766462326,8.133552074432373
94,5,7,0.26246509701013565,7.485732555389404
95,5,9,0.21863868832588196,9.96944284439087
96,5,9,0.2880619391798973,11.434688091278076
97,5,9,0.21799882501363754,10.387864589691162
98,5,11,0.2608802244067192,11.795252323150635
99,5,11,0.391450472176075,14.051146030426025
100,6,1,0.270279124379158,0.8245499134063721
101,6,1,0.23490578681230545,0.4079010486602783
102,6,1,0.282453715801239,0.97652268409729
103,6,2,0.2391030266880989,0.15007710456848145
104,6,2,0.25944384932518005,1.4743821620941162
105,6,3,0.21478182077407837,2.6036903858184814
106,6,3,0.2135757952928543,1.7798588275909424
107,6,4,0.24986129254102707,2.99318528175354
108,6,4,0.24804126471281052,2.963879346847534
109,6,5,0.2184509038925171,4.760997533798218
110,6,5,0.2240646556019783,3.8651645183563232
111,6,5,0.2604096233844757,3.4574620723724365
112,6,7,0.2574979066848755,6.505857229232788
113,6,7,0.2234218865633011,7.300944089889526
114,6,7,0.26174062490463257,6.867686033248901
115,6,9,0.2192511186003685,9.669406652450562
116,6,9,0.2553834617137909,9.642606496810913
117,6,9,0.21890536695718765,11.149908781051636
118,6,11,0.25360436737537384,10.981590032577515
119,6,11,0.4063253700733185,12.657220602035522
120,7,1,0.14941911585628986,3.6416079197078943
121,7,1,0.15005453117191792,3.426260868087411
122,7,1,0.14433381147682667,4.1946291122585535
123,7,2,0.14816068299114704,4.266848960891366
124,7,2,0.1531566996127367,4.812336841598153
125,7,4,0.14682302065193653,6.968092838302255
126,7,4,0.15739457495510578,6.622545639052987
127,7,5,0.11426458694040775,9.37261382676661
128,7,5,0.11009533889591694,10.248131671920419
129,7,5,0.14982530660927296,7.914823452010751
130,7,7,0.1557327825576067,8.025729099288583
131,7,7,0.15254518575966358,12.188914218917489
132,7,9,0.10748717375099659,15.784670749679208
133,7,9,0.14528504200279713,16.298687854781747
134,7,9,0.10679478384554386,16.727110782638192
135,7,11,0.14448179490864277,17.078913608565927
